Index,Department,Code,Title,BOJA_Published,Time Auditing,Complete,Resume,BOJA_Link,Year_of_Audit
116,Junta de Andalucía,JA 04/1999,Fiscalización de la Dirección General de Instituciones del Patrimonio Histórico: Servicio de Bibliotecas,"Nro. 85, 26/07/2001",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=52&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=52&type=resume,Debe consultarse directamente en BOJA,1999
122,Junta de Andalucía,JA 04/1998,Fiscalización del Proyecto de Obras de Abastecimiento derivado del Embalse del Huesna.,"Nro. 147, 21/12/2000",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=47&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=47&type=resume,https://www.juntadeandalucia.es/boja/2000/147/69,1998
123,Junta de Andalucía,JA 03/1998,Fiscalización del Programa de Recuperación y Protección de la Calidad Ambiental. 1997,"Nro. 89, 03/08/2000",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=40&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=40&type=resume,https://www.juntadeandalucia.es/boja/2000/89/72,1998
117,Junta de Andalucía,JA 02/1998,Fiscalización de las Subvenciones de la Consejería de Trabajo e Industria para Formación Profesional Ocupacional - 1997,"Nro. 80, 14/07/2001",Cerca de 4 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=51&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=51&type=resume,Debe consultarse directamente en BOJA,1998
127,Junta de Andalucía,JA 01/1998,Fondo de Compensación Interterritorial. 1997,"Nro. 117, 07/10/1999",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=31&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=31&type=resume,https://www.juntadeandalucia.es/boja/1999/117/39,1998
128,Junta de Andalucía,JA 01/1998,Informe de fiscalización de la Cuenta General y Contratación Administrativa de la Junta de Andalucía. 1997,"Nro. 93, 12/08/1999",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=27&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=27&type=resume,https://www.juntadeandalucia.es/boja/1999/93/69,1998
126,Junta de Andalucía,JA 05/1997,Libramientos pendientes de justificar. 1997,"Nro. 20, 17/02/2000",Cerca de 4 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=33&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=33&type=resume,http://www.juntadeandalucia.es/boja/2000/20/d41.pdf,1997
129,Junta de Andalucía,JA 03/1997,Informe sobre el Fondo de Compensación Interterritorial. 1996,"Nro. 21, 18/02/1999",Cerca de 3 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=26&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=26&type=resume,https://www.juntadeandalucia.es/boja/1999/21/56,1997
130,Junta de Andalucía,JA 06/1997,Fiscalización sobre ayudas cofinanciadas con el FEOGA-O. 1996,"Nro. 109, 19/09/1998",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=10&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=10&type=resume,https://www.juntadeandalucia.es/boja/1998/106/2,1997
131,Junta de Andalucía,JA 04/1997,Fiscalización de las Tasas sobre el juego.1996,"Nro. 75, 07/07/1998",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=8&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=8&type=resume,https://www.juntadeandalucia.es/boja/1998/75/5,1997
132,Junta de Andalucía,JA 01/1997,Informe de fiscalización de la Cuenta General y Contratación Administrativa de la Junta de Andalucía. 1996,"Nro. 66, 16/06/1998",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=1&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=1&type=resume,https://www.juntadeandalucia.es/boja/1998/66/7,1997
133,Junta de Andalucía,JA 07/1997,Fiscalización de la carretera A-357 de Campillos - Málaga,"Nro. 66, 16/06/1998",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=6&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=6&type=resume,https://www.juntadeandalucia.es/boja/1998/66/6,1997
134,Junta de Andalucía,JA 06/1997,Fiscalización de ayudas integradas en la iniciativa comunitaria LEADER II.1995-96,"Nro. 66, 16/06/1998",Cerca de 2 año(s),https://www.ccuentas.es/public/modules/report/downloader.php?file=7&type=complete,https://www.ccuentas.es/public/modules/report/downloader.php?file=7&type=resume,https://www.juntadeandalucia.es/boja/1998/66/9,1997
